theta,phi_optimal,highest_key_rate,b92_key_rate,improvement,coverage,difference,remaining_phiQKD_bits,remaining_b92_bits
0.18725746066109564,0.0984494928747074,0.05820193842178719,0.011137456479684546,422.57836901945575,27.452850146542975,0.047064481942102644,-53768.99580642916,-82518.0
0.187414555846214,0.09843831443444222,0.05811360651020878,0.01112644259213225,422.30176922228657,27.44284917281088,0.04698716391807653,-53727.95873551297,-82489.0
0.18757165103133236,0.09835796794358379,0.058025348940516946,0.01111542760513127,422.0253417307168,27.432848199084773,0.04690992133538568,-53714.59192312336,-82460.0
0.18772874621645075,0.09834679735886337,0.05793717082049957,0.011104411524736998,421.7491326887021,27.422847225364652,0.04683275929576257,-53673.51944141121,-82431.0
0.1878858414015691,0.09833562677414298,0.05784906462322242,0.011093259316427939,421.4794225314295,27.412846251650528,0.046755805306794476,-53632.42569247164,-82401.0
0.18804293658668747,0.0983244561894226,0.05776103032011593,0.011082241153632589,421.2035139767984,27.402845277942404,0.04667878916648334,-53591.31067706859,-82372.0
0.18820003177180586,0.09831328560470223,0.05767306788255654,0.011071221915685138,420.92775595843045,27.392844304240274,0.046601845966871405,-53550.174395967784,-82343.0
0.18835712695692422,0.09830211501998184,0.057585177281862014,0.011060066826941255,420.658493143912,27.372842344912762,0.04652511045492076,-53509.01684993406,-82313.0
0.18851422214204258,0.09822182351793705,0.05749735959658082,0.011049045543298008,420.38304459209013,27.36284137122427,0.04644831405328281,-53495.56131706359,-82284.0
0.18867131732716094,0.09821066078876148,0.05740962278386664,0.011037888593998431,420.1141712472225,27.35284039754179,0.04637173418986821,-53454.36835557917,-82254.0
0.18882841251227933,0.0981994980595859,0.057321957758165225,0.011026865289180633,419.8391043591375,27.342839423865314,0.04629509246898459,-53413.15412953798,-82225.0
0.1889855076973977,0.09818833533041034,0.05723436449044682,0.011015706504142575,419.57052839891134,27.332838450194853,0.04621865798630424,-53371.918639707386,-82195.0
0.18914260288251605,0.09817717260123476,0.057146842951630326,0.011004681202673002,419.2957605873175,27.322837476530395,0.04614216174895733,-53330.66188685633,-82166.0
0.18929969806763444,0.09816600987205917,0.0570593931125805,0.010993520606715173,419.02748131228236,27.312836502871946,0.04606587250586533,-53289.38387175344,-82136.0
0.1894567932527528,0.09808577335882808,0.056972016576318174,0.010982493333118064,418.7530267331665,27.302835529219518,0.04598952324320011,-53275.83957502304,-82107.0
0.18961388843787116,0.09807461848519733,0.05688472050984697,0.010971330951060763,418.48513880029367,27.292834555573105,0.04591338955878621,-53234.52613985171,-82077.0
0.18977098362298953,0.09806346361156656,0.05679749609116273,0.010960167728777049,418.21739864468555,27.282833581932707,0.04583732836238569,-53193.191442815776,-82047.0
0.18992807880810791,0.09805230873793579,0.05671034329079401,0.010949137586527016,417.9434712792033,27.27283260829833,0.04576120570426699,-53151.83548468496,-82018.0
0.19008517399322628,0.09804115386430501,0.05662326207922593,0.010937972615451026,417.6760270842119,27.262831634669976,0.045685289463774904,-53110.45826623309,-81988.0
0.19024226917834464,0.09802999899067426,0.056536252426890934,0.0109268068229138,417.40873013635536,27.252830661047646,0.04560944560397713,-53069.05978823276,-81958.0
0.19039936436346303,0.09794981746625683,0.05644931825077163,0.010915773867420557,417.1352845559711,27.242829687431342,0.045533544383351075,-53055.42668434151,-81929.0
0.1905564595485814,0.09793867044817088,0.05636246234408672,0.010904606363401816,416.86838080878516,27.222827728212746,0.0454578559806849,-53013.99278169097,-81899.0
0.19071355473369975,0.09792752343008493,0.05627567794258997,0.01089343805668897,416.6016242965153,27.212826754610152,0.045382239885900996,-52972.5376198872,-81869.0
0.1908706499188181,0.09791637641199895,0.05618896501639665,0.01088226895356263,416.33501484083007,27.202825781013587,0.045306696062834016,-52931.06119970683,-81839.0
